"location","epidemic","model","targets","mean_wis","mean_absolute_error","median_absolute_error","median_signed_error","coverage90"
"Maine","hsgp","hurdle_ztnb",25,1.11173939393939,1.2,0,0,0.84
"Maine","hsgp","hurdle_ztpoisson",25,1.34195757575758,1.6,1,0,0.84
"Maine","sir","hurdle_ztnb",25,1.48,1.48,0,0,0.68
"Maine","sir","hurdle_ztpoisson",25,1.48,1.48,0,0,0.68
"Maryland","ar1","hurdle_ztnb",25,16.3724909090909,18.3,1,-1,0.72
"Maryland","ar1","hurdle_ztpoisson",25,16.4056484848485,19.4,3,-1,0.6
"Maryland","hsgp","hurdle_ztnb",25,11.5182181818182,16.3,1,-1,0.88
"Maryland","hsgp","hurdle_ztpoisson",25,12.3674181818182,17.3,2,-1,0.8
"Maryland","sir","hurdle_ztnb",25,16.639296969697,18.4,1,-1,0.76
"Maryland","sir","hurdle_ztpoisson",25,17.4480787878788,18.28,1,-1,0.48
"Massachusetts","ar1","hurdle_ztnb",25,36.9863333333333,37.92,9,-9,0.44
"Massachusetts","ar1","hurdle_ztpoisson",25,45.8987212121212,53.44,15,-15,0.24
"Massachusetts","hsgp","hurdle_ztnb",25,34.2072060606061,38.92,9,-9,0.48
"Massachusetts","hsgp","hurdle_ztpoisson",25,39.4315212121212,49.14,12,-12,0.32
"Massachusetts","sir","hurdle_ztnb",25,37.5153757575758,37.92,9,-9,0.36
"Massachusetts","sir","hurdle_ztpoisson",25,42.0509575757576,44.08,9,-9,0.2
"Michigan","ar1","hurdle_ztnb",25,106.215981818182,116.44,59,-59,0.52
"Michigan","ar1","hurdle_ztpoisson",25,112.24536969697,116.64,59,-59,0.12
"Michigan","hsgp","hurdle_ztnb",25,103.027393939394,116.52,59,-59,0.32
"Michigan","hsgp","hurdle_ztpoisson",25,103.148133333333,115.08,59,-59,0.2
"Michigan","sir","hurdle_ztnb",25,112.652272727273,116.64,59,-59,0.32
"Michigan","sir","hurdle_ztpoisson",25,113.375145454545,116.64,59,-59,0.08
"Minnesota","ar1","hurdle_ztnb",25,16.128296969697,15.08,0,0,0.72
"Minnesota","ar1","hurdle_ztpoisson",25,12.7024363636364,15.08,0,0,0.8
"Minnesota","hsgp","hurdle_ztnb",25,14.7621272727273,15.04,0,0,0.76
"Minnesota","hsgp","hurdle_ztpoisson",25,14.3734,15.08,0,0,0.64
"Minnesota","sir","hurdle_ztnb",25,15.08,15.08,0,0,0.52
"Minnesota","sir","hurdle_ztpoisson",25,15.08,15.08,0,0,0.52
"Mississippi","ar1","hurdle_ztnb",25,2.97646666666667,3.16,1,0,0.92
"Mississippi","ar1","hurdle_ztpoisson",25,2.93840606060606,3.44,1,0,0.92
"Mississippi","hsgp","hurdle_ztnb",25,3.08569090909091,3.52,1,0,0.92
"Mississippi","hsgp","hurdle_ztpoisson",25,2.92058787878788,3.78,1,0,0.92
"Mississippi","sir","hurdle_ztnb",25,2.76785454545455,3.24,1,0,0.92
"Mississippi","sir","hurdle_ztpoisson",25,2.95326060606061,3.32,0,0,0.88
"Missouri","ar1","hurdle_ztnb",25,30.3549272727273,34.26,3,0,0.88
"Missouri","ar1","hurdle_ztpoisson",25,30.3818060606061,34.36,4,0,0.76
"Missouri","hsgp","hurdle_ztnb",25,24.1682545454545,32.92,8,1,0.92
"Missouri","hsgp","hurdle_ztpoisson",25,25.9006121212121,33.14,4,0,0.76
"Missouri","sir","hurdle_ztnb",25,31.1292787878788,35.22,4,0,0.88
"Missouri","sir","hurdle_ztpoisson",25,31.2793090909091,34.82,3,0,0.72
"Montana","ar1","hurdle_ztnb",25,3.7762303030303,4.24,3,0,0.48
"Montana","ar1","hurdle_ztpoisson",25,3.43925454545455,4.6,4,0,0.52
"Montana","hsgp","hurdle_ztnb",25,3.46755757575758,4.58,4,0,0.6
"Montana","hsgp","hurdle_ztpoisson",25,3.3364303030303,4.5,3,0,0.64
"Montana","sir","hurdle_ztnb",25,4.24,4.24,3,0,0.28
"Montana","sir","hurdle_ztpoisson",25,4.24,4.24,3,0,0.28
"Nebraska","ar1","hurdle_ztnb",25,1.5438,1.84,0,0,0.88
"Nebraska","ar1","hurdle_ztpoisson",25,1.06136363636364,1.32,0,0,0.92
"Nebraska","hsgp","hurdle_ztnb",25,0.948824242424242,1.4,0,0,0.96
"Nebraska","hsgp","hurdle_ztpoisson",25,1.13210909090909,1.12,0,0,0.96
"Nebraska","sir","hurdle_ztnb",25,1.17855757575758,1.62,0,0,0.96
"Nebraska","sir","hurdle_ztpoisson",25,1.24975151515152,1.64,0,0,0.96
"Nevada","ar1","hurdle_ztnb",25,3.40909090909091,3.96,1,0,0.84
"Nevada","ar1","hurdle_ztpoisson",25,2.79327272727273,3.8,0,0,0.84
"Nevada","hsgp","hurdle_ztnb",25,2.49524848484848,3.08,0,0,0.92
"Nevada","hsgp","hurdle_ztpoisson",25,2.48399393939394,3.46,1.5,0,0.92
"Nevada","sir","hurdle_ztnb",25,2.8518303030303,3.76,0.5,0,0.92
"Nevada","sir","hurdle_ztpoisson",25,3.24175151515152,4.04,0,0,0.68
"New Hampshire","ar1","hurdle_ztnb",25,12.4866121212121,12.68,0,0,0.68
"New Hampshire","ar1","hurdle_ztpoisson",25,11.6686242424242,12.64,0,0,0.72
"New Hampshire","hsgp","hurdle_ztnb",25,11.6200484848485,12.92,0,0,0.68
"New Hampshire","hsgp","hurdle_ztpoisson",25,12.6494606060606,13,0,0,0.68
"New Hampshire","sir","hurdle_ztnb",25,12.1324060606061,12.64,0,0,0.72
"New Hampshire","sir","hurdle_ztpoisson",25,12.1619151515152,12.64,0,0,0.68
"New Jersey","ar1","hurdle_ztnb",25,2.79129090909091,1.9,0,0,1
"New Jersey","ar1","hurdle_ztpoisson",25,2.25175151515151,1.84,0,0,0.72
"New Jersey","hsgp","hurdle_ztnb",25,5.41560606060606,6.06,1,0,1
"New Jersey","hsgp","hurdle_ztpoisson",25,4.03785454545455,2.04,0,0,0.96
"New Jersey","sir","hurdle_ztnb",25,1.85239393939394,1.84,0,0,0.96
"New Jersey","sir","hurdle_ztpoisson",25,2.04436363636364,1.84,0,0,0.72
"New Mexico","ar1","hurdle_ztnb",25,7.08931515151515,8.96,2,-1,0.92
"New Mexico","ar1","hurdle_ztpoisson",25,7.82932121212121,8.88,2,-1,0.8
"New Mexico","hsgp","hurdle_ztnb",25,5.80127878787879,7.82,1.5,0,0.92
"New Mexico","hsgp","hurdle_ztpoisson",25,7.21800606060606,8.68,1,-1,0.92
"New Mexico","sir","hurdle_ztnb",25,6.87473939393939,8.6,1,-1,0.88
"New Mexico","sir","hurdle_ztpoisson",25,8.11758181818182,9.08,2,-1,0.68
"New York","ar1","hurdle_ztnb",25,21.8359151515152,27.9,7,-1,0.84
"New York","ar1","hurdle_ztpoisson",25,27.3913393939394,29.4,9,-8,0.48
"New York","hsgp","hurdle_ztnb",25,12.6078545454545,21.52,4,-4,1
"New York","hsgp","hurdle_ztpoisson",25,23.7293696969697,29.36,8,-8,0.48
"New York","sir","hurdle_ztnb",25,24.2017272727273,28.82,7,-7,0.72
"New York","sir","hurdle_ztpoisson",25,28.5146848484849,29.48,8,-8,0.36
"North Carolina","ar1","hurdle_ztnb",25,18.2687939393939,22.08,2,-1,0.84
"North Carolina","ar1","hurdle_ztpoisson",25,21.3863696969697,22.12,1,-1,0.48
"North Carolina","hsgp","hurdle_ztnb",25,14.3768666666667,21.42,1,-1,0.96
"North Carolina","hsgp","hurdle_ztpoisson",25,17.8254545454545,22.12,1,-1,0.76
"North Carolina","sir","hurdle_ztnb",25,19.9738484848485,22.12,1,-1,0.8
"North Carolina","sir","hurdle_ztpoisson",25,21.9514363636364,22.12,1,-1,0.44
"North Dakota","ar1","hurdle_ztnb",25,0.600436363636364,0.76,0,0,0.96
"North Dakota","ar1","hurdle_ztpoisson",25,0.707139393939394,0.72,0,0,0.96
"North Dakota","hsgp","hurdle_ztnb",25,0.669551515151515,0.72,0,0,0.96
"North Dakota","hsgp","hurdle_ztpoisson",25,0.780230303030303,0.96,0,0,0.96
"North Dakota","sir","hurdle_ztnb",25,0.76,0.76,0,0,0.8
"North Dakota","sir","hurdle_ztpoisson",25,0.76,0.76,0,0,0.8
"Ohio","ar1","hurdle_ztnb",25,26.7008484848485,33.3,6,1,0.72
"Ohio","ar1","hurdle_ztpoisson",25,22.7263151515152,31.86,6,-0.5,0.72
"Ohio","hsgp","hurdle_ztnb",25,18.2476060606061,29.24,5.5,0,0.8
"Ohio","hsgp","hurdle_ztpoisson",25,19.8986909090909,32.36,5,0,0.88
"Ohio","sir","hurdle_ztnb",25,28.8329515151515,32.94,5,0,0.6
"Ohio","sir","hurdle_ztpoisson",20,32.7714924242424,41,9.5,-1.5,0.55
"Oklahoma","ar1","hurdle_ztnb",25,18.0847212121212,19.76,1,0,0.84
"Oklahoma","ar1","hurdle_ztpoisson",25,17.0431212121212,20.24,2,0,0.64
"Oklahoma","hsgp","hurdle_ztnb",25,12.4024787878788,18.8,4,0,0.88
"Oklahoma","hsgp","hurdle_ztpoisson",25,14.9903272727273,19.9,4,0,0.76
"Oklahoma","sir","hurdle_ztnb",25,18.0118787878788,19.96,1,0,0.84
"Oklahoma","sir","hurdle_ztpoisson",25,18.4242424242424,20.4,2,0,0.6
"Oregon","ar1","hurdle_ztnb",25,7.61202424242424,9.88,2,-2,0.84
"Oregon","ar1","hurdle_ztpoisson",25,7.66706666666667,9.68,3,-2,0.68
"Oregon","hsgp","hurdle_ztnb",25,5.81940606060606,8.42,2,-1,0.84
"Oregon","hsgp","hurdle_ztpoisson",25,7.30752727272727,8.68,2,-2,0.84
"Oregon","sir","hurdle_ztnb",25,7.25236363636364,10.28,2,-2,0.8
"Oregon","sir","hurdle_ztpoisson",25,8.01063636363637,10.24,3,-2,0.72
"Pennsylvania","ar1","hurdle_ztnb",25,62.5615090909091,87.1,68,-68,0.8
"Pennsylvania","ar1","hurdle_ztpoisson",25,86.6454242424243,88.92,70,-70,0.08
"Pennsylvania","hsgp","hurdle_ztnb",25,62.8367818181818,84.26,70,-70,0.56
"Pennsylvania","hsgp","hurdle_ztpoisson",25,78.1244909090909,88.28,66,-66,0.28
"Pennsylvania","sir","hurdle_ztnb",25,77.5100848484849,88.92,70,-70,0.36
"Pennsylvania","sir","hurdle_ztpoisson",25,87.8944787878788,88.92,70,-70,0.08
"Puerto Rico","ar1","hurdle_ztnb",25,93.1469454545455,100.84,24,-22,0.68
"Puerto Rico","ar1","hurdle_ztpoisson",25,106.224606060606,120.14,66.5,-66.5,0.48
"Puerto Rico","hsgp","hurdle_ztnb",25,94.9499393939394,101.9,26,-26,0.48
"Puerto Rico","hsgp","hurdle_ztpoisson",25,106.862393939394,121.02,64,-64,0.52
"Puerto Rico","sir","hurdle_ztnb",25,92.3820121212121,102.06,26,-26,0.68
"Puerto Rico","sir","hurdle_ztpoisson",25,97.0146787878788,101.88,26,-26,0.32
"Rhode Island","ar1","hurdle_ztnb",25,3.63192727272727,4.04,0,0,0.72
"Rhode Island","ar1","hurdle_ztpoisson",25,3.22961212121212,3.72,0,0,0.76
"Rhode Island","hsgp","hurdle_ztnb",25,3.08610909090909,3.76,0,0,0.8
"Rhode Island","hsgp","hurdle_ztpoisson",25,3.18802424242424,3.92,0,0,0.8
"Rhode Island","sir","hurdle_ztnb",25,4.04,4.04,0,0,0.64
"Rhode Island","sir","hurdle_ztpoisson",25,4.04,4.04,0,0,0.64
"South Carolina","ar1","hurdle_ztnb",25,6.31213333333334,7.72,3,-2,0.92
"South Carolina","ar1","hurdle_ztpoisson",25,6.8257393939394,7.92,3,-3,0.56
"South Carolina","hsgp","hurdle_ztnb",25,4.78958181818182,7.48,3,-2,0.92
"South Carolina","hsgp","hurdle_ztpoisson",25,5.14715757575758,7.08,2,-2,0.84
"South Carolina","sir","hurdle_ztnb",25,6.0964,7.92,3,-3,0.88
"South Carolina","sir","hurdle_ztpoisson",25,7.12327878787879,7.92,3,-3,0.48
"South Dakota","ar1","hurdle_ztnb",25,1.57520606060606,1.8,0,0,0.8
"South Dakota","ar1","hurdle_ztpoisson",25,1.02598787878788,1.36,0,0,0.88
"South Dakota","hsgp","hurdle_ztnb",25,0.899218181818182,1.36,0,0,0.96
"South Dakota","hsgp","hurdle_ztpoisson",25,1.00767878787879,1.4,0,0,0.88
"South Dakota","sir","hurdle_ztnb",25,1.46947272727273,1.8,0,0,0.8
"South Dakota","sir","hurdle_ztpoisson",25,1.04071515151515,1.48,0,0,0.88
"Tennessee","ar1","hurdle_ztnb",25,5.5126,7,2,0,0.92
"Tennessee","ar1","hurdle_ztpoisson",25,4.93982424242424,6.34,0,0,0.84
"Tennessee","hsgp","hurdle_ztnb",25,4.30908484848485,6.12,1,0,1
"Tennessee","hsgp","hurdle_ztpoisson",25,5.44526666666667,6.5,1,0,0.96
"Tennessee","sir","hurdle_ztnb",25,5.09295757575758,6.8,1,0,0.92
