"location","origin","clock","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Alabama",2025-02-15,"compressed","cumulative_poisson",2025-01-11,2025,4,477,477,476,1.24681818181818,1,TRUE
"Alabama",2025-02-15,"compressed","cumulative_poisson",2025-01-25,2025,3,632,632,627,2.93636363636364,5,TRUE
"Alabama",2025-02-15,"compressed","cumulative_poisson",2025-02-01,2025,2,742,742,734,4.90060606060607,8,TRUE
"Alabama",2025-02-15,"compressed","cumulative_poisson",2025-02-08,2025,1,652,663,646,12.9839393939394,17,FALSE
"Alabama",2025-02-15,"compressed","cumulative_poisson",2025-02-15,2025,0,391,415,396.5,13.5013636363636,18.5,FALSE
"Alabama",2025-02-15,"compressed","cumulative_nb",2025-01-11,2025,4,477,477,476,1.07272727272727,1,TRUE
"Alabama",2025-02-15,"compressed","cumulative_nb",2025-01-25,2025,3,632,632,627.5,3.05287878787878,4.5,TRUE
"Alabama",2025-02-15,"compressed","cumulative_nb",2025-02-01,2025,2,742,742,733,5.32560606060606,9,TRUE
"Alabama",2025-02-15,"compressed","cumulative_nb",2025-02-08,2025,1,652,663,644,13.7922727272727,19,FALSE
"Alabama",2025-02-15,"compressed","cumulative_nb",2025-02-15,2025,0,391,415,397,11.7727272727273,18,FALSE
"Alabama",2025-02-15,"compressed","hurdle_ztnb",2025-01-11,2025,4,477,477,477,0.319545454545454,0,TRUE
"Alabama",2025-02-15,"compressed","hurdle_ztnb",2025-01-25,2025,3,632,632,632,0.603787878787879,0,TRUE
"Alabama",2025-02-15,"compressed","hurdle_ztnb",2025-02-01,2025,2,742,742,742,0.565,0,TRUE
"Alabama",2025-02-15,"compressed","hurdle_ztnb",2025-02-08,2025,1,652,663,651,10.3013636363636,12,FALSE
"Alabama",2025-02-15,"compressed","hurdle_ztnb",2025-02-15,2025,0,391,415,391,20.7195454545455,24,FALSE
"Alabama",2025-02-15,"compressed","hurdle_ztpoisson",2025-01-11,2025,4,477,477,467,5.89166666666666,10,TRUE
"Alabama",2025-02-15,"compressed","hurdle_ztpoisson",2025-01-25,2025,3,632,632,616,9.14606060606062,16,TRUE
"Alabama",2025-02-15,"compressed","hurdle_ztpoisson",2025-02-01,2025,2,742,742,726,10.1351515151515,16,TRUE
"Alabama",2025-02-15,"compressed","hurdle_ztpoisson",2025-02-08,2025,1,652,663,635,20.1324242424242,28,FALSE
"Alabama",2025-02-15,"compressed","hurdle_ztpoisson",2025-02-15,2025,0,391,415,384,25.3559090909091,31,FALSE
"Alabama",2025-03-29,"calendar","empirical_multiplier",2025-03-01,2025,4,330,330,330,0,0,TRUE
"Alabama",2025-03-29,"calendar","empirical_multiplier",2025-03-08,2025,3,315,315,315,0,0,TRUE
"Alabama",2025-03-29,"calendar","empirical_multiplier",2025-03-15,2025,2,273,273,273,0,0,TRUE
"Alabama",2025-03-29,"calendar","empirical_multiplier",2025-03-22,2025,1,193,193,193,0,0,TRUE
"Alabama",2025-03-29,"calendar","empirical_multiplier",2025-03-29,2025,0,162,169,162,7,7,FALSE
"Alabama",2025-03-29,"calendar","cumulative_poisson",2025-03-01,2025,4,330,330,330,0.0660606060606059,0,TRUE
"Alabama",2025-03-29,"calendar","cumulative_poisson",2025-03-08,2025,3,315,315,315,0.183181818181819,0,TRUE
"Alabama",2025-03-29,"calendar","cumulative_poisson",2025-03-15,2025,2,273,273,273,0.236363636363636,0,TRUE
"Alabama",2025-03-29,"calendar","cumulative_poisson",2025-03-22,2025,1,193,193,194,0.672727272727273,1,TRUE
"Alabama",2025-03-29,"calendar","cumulative_poisson",2025-03-29,2025,0,162,169,190,15.8206060606061,21,FALSE
"Alabama",2025-03-29,"calendar","cumulative_nb",2025-03-01,2025,4,330,330,330,0.269848484848484,0,TRUE
"Alabama",2025-03-29,"calendar","cumulative_nb",2025-03-08,2025,3,315,315,315,0.375151515151515,0,TRUE
"Alabama",2025-03-29,"calendar","cumulative_nb",2025-03-15,2025,2,273,273,273,0.554545454545455,0,TRUE
"Alabama",2025-03-29,"calendar","cumulative_nb",2025-03-22,2025,1,193,193,195,1.22727272727273,2,TRUE
"Alabama",2025-03-29,"calendar","cumulative_nb",2025-03-29,2025,0,162,169,183,8.94681818181818,14,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztnb",2025-03-01,2025,4,330,330,330,0.00272727272727232,0,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztnb",2025-03-08,2025,3,315,315,315,0.0649999999999998,0,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztnb",2025-03-15,2025,2,273,273,273,0.128636363636363,0,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztnb",2025-03-22,2025,1,193,193,193,0.742575757575757,0,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztnb",2025-03-29,2025,0,162,169,162,4.52121212121212,7,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztpoisson",2025-03-01,2025,4,330,330,330,0.0090909090909091,0,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztpoisson",2025-03-08,2025,3,315,315,315,0.0090909090909091,0,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztpoisson",2025-03-15,2025,2,273,273,273,0.0363636363636364,0,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztpoisson",2025-03-22,2025,1,193,193,193,0.083181818181818,0,TRUE
"Alabama",2025-03-29,"calendar","hurdle_ztpoisson",2025-03-29,2025,0,162,169,162,4.64681818181818,7,TRUE
"Alabama",2025-03-29,"compressed","empirical_multiplier",2025-03-01,2025,4,330,330,330,0,0,TRUE
"Alabama",2025-03-29,"compressed","empirical_multiplier",2025-03-08,2025,3,315,315,315,0,0,TRUE
"Alabama",2025-03-29,"compressed","empirical_multiplier",2025-03-15,2025,2,273,273,273,0,0,TRUE
"Alabama",2025-03-29,"compressed","empirical_multiplier",2025-03-22,2025,1,193,193,193,0,0,TRUE
"Alabama",2025-03-29,"compressed","empirical_multiplier",2025-03-29,2025,0,162,169,162,7,7,FALSE
"Alabama",2025-03-29,"compressed","cumulative_poisson",2025-03-01,2025,4,330,330,327,2.51818181818182,3,FALSE
"Alabama",2025-03-29,"compressed","cumulative_poisson",2025-03-08,2025,3,315,315,312,2.34787878787879,3,TRUE
"Alabama",2025-03-29,"compressed","cumulative_poisson",2025-03-15,2025,2,273,273,270,2.03636363636364,3,TRUE
"Alabama",2025-03-29,"compressed","cumulative_poisson",2025-03-22,2025,1,193,193,191,1.35454545454545,2,TRUE
"Alabama",2025-03-29,"compressed","cumulative_poisson",2025-03-29,2025,0,162,169,164,3.06045454545454,5,TRUE
"Alabama",2025-03-29,"compressed","cumulative_nb",2025-03-01,2025,4,330,330,326,2.71045454545455,4,TRUE
"Alabama",2025-03-29,"compressed","cumulative_nb",2025-03-08,2025,3,315,315,311,2.70969696969696,4,FALSE
"Alabama",2025-03-29,"compressed","cumulative_nb",2025-03-15,2025,2,273,273,270,2.32727272727273,3,TRUE
"Alabama",2025-03-29,"compressed","cumulative_nb",2025-03-22,2025,1,193,193,191,1.28181818181818,2,TRUE
"Alabama",2025-03-29,"compressed","cumulative_nb",2025-03-29,2025,0,162,169,164,3.11530303030303,5,TRUE
