"location","origin","clock","model","nll","convergence","max_gradient","gradient_status","finite_fit","finite_prediction","leakage_ok","use_random","retraction_mass","q_C_min","q_C_max","q_terminal","reconstruction","negative_projection_count","n_cells","fit_seconds","warnings"
"Alaska",2025-01-02,"compressed","hurdle_ztnb",265.03098856692,0,0.000287115756841816,"pass",TRUE,TRUE,TRUE,FALSE,0.0368804507130297,0.893946166604423,0.963456657725211,0.963119581475223,"anchored sequential hurdle updates",1,648,4.101,""
"Alaska",2025-01-02,"compressed","hurdle_ztpoisson",272.17129648042,0,0.000870427091123283,"pass",TRUE,TRUE,TRUE,FALSE,0.0404165330521416,0.884019500082731,0.959911988631733,0.959583509143993,"anchored sequential hurdle updates",1,648,3.25299999999999,""
"Alaska",2025-02-15,"calendar","cumulative_poisson",3080.93917476728,0,0.00111429738868463,"pass",TRUE,TRUE,TRUE,TRUE,0.0678184281282626,0.699737699548977,0.932185299206738,0.932185299206738,"anchored independent signed-Poisson update approximation",0,1728,3.12199999999999,""
"Alaska",2025-02-15,"calendar","cumulative_nb",3232.17957938828,0,0.00102324835730494,"pass",TRUE,TRUE,TRUE,TRUE,0.0662117523857571,0.706048082185587,0.933792983104868,0.933792983104868,"anchored independent signed-Poisson update approximation",0,1728,4.68400000000003,""
"Alaska",2025-02-15,"calendar","hurdle_ztnb",630.135231675822,0,5.94625357246414e-05,"pass",TRUE,TRUE,TRUE,FALSE,0.040463092349672,0.739222371348802,0.959550371831513,0.959550371831513,"anchored sequential hurdle updates",2,1728,4.042,""
"Alaska",2025-02-15,"calendar","hurdle_ztpoisson",646.274893982608,0,0.00105704700858134,"pass",TRUE,TRUE,TRUE,FALSE,0.0494687246219809,0.736624997205004,0.950546257637824,0.950546257637824,"anchored sequential hurdle updates",2,1728,4.178,""
"Alaska",2025-02-15,"compressed","cumulative_poisson",1763.88620115108,0,0.00140833329013113,"pass",TRUE,TRUE,TRUE,TRUE,0.135597303732194,0.82191172865166,0.873032312873423,0.864410397675769,"anchored independent signed-Poisson update approximation",0,783,2.017,""
"Alaska",2025-02-15,"compressed","cumulative_nb",1919.29594575058,0,0.00097896015438842,"pass",TRUE,TRUE,TRUE,TRUE,0.134524731381443,0.821485195810972,0.875040370667107,0.865483051659442,"anchored independent signed-Poisson update approximation",0,783,2.69000000000005,""
"Alaska",2025-02-15,"compressed","hurdle_ztnb",306.775097634421,0,0.000423495028271326,"pass",TRUE,TRUE,TRUE,FALSE,0.0269472596016163,0.908591969452093,0.973979145604791,0.97305275802056,"anchored sequential hurdle updates",0,783,3.21099999999996,""
"Alaska",2025-02-15,"compressed","hurdle_ztpoisson",307.372054958549,0,0.00508818222827734,"pass",TRUE,TRUE,TRUE,FALSE,0.0280268889873889,0.906569924928684,0.972801866721303,0.971973129118765,"anchored sequential hurdle updates",0,783,3.53399999999999,""
"Alaska",2025-03-29,"calendar","cumulative_poisson",3450.09876869141,0,0.000789027597485559,"pass",TRUE,TRUE,TRUE,TRUE,0.0712356785974704,0.70758543337221,0.92877297435421,0.92877297435421,"anchored independent signed-Poisson update approximation",0,1890,4.21800000000002,""
"Alaska",2025-03-29,"calendar","cumulative_nb",3609.46999684999,0,0.00197714151926946,"pass",TRUE,TRUE,TRUE,TRUE,0.0698914446902334,0.710557730870894,0.930117386616457,0.930117386616457,"anchored independent signed-Poisson update approximation",0,1890,4.964,""
"Alaska",2025-03-29,"calendar","hurdle_ztnb",720.834809042191,0,1.12092467613801e-05,"pass",TRUE,TRUE,TRUE,FALSE,0.0320014770398372,0.753310583570268,0.968008298284044,0.968008298284044,"anchored sequential hurdle updates",0,1890,4.65899999999999,""
"Alaska",2025-03-29,"calendar","hurdle_ztpoisson",746.751568871147,0,0.00329954854162887,"pass",TRUE,TRUE,TRUE,FALSE,0.0361986531541282,0.766095180287023,0.963810944320462,0.963810944320462,"anchored sequential hurdle updates",0,1890,4.17500000000001,""
"Alaska",2025-03-29,"compressed","cumulative_poisson",2149.39927077658,0,0.000822597468292052,"pass",TRUE,TRUE,TRUE,TRUE,0.104468253846856,0.823047939934119,0.895536333023199,0.895536333023199,"anchored independent signed-Poisson update approximation",0,945,2.12800000000004,""
"Alaska",2025-03-29,"compressed","cumulative_nb",2312.13138331562,0,0.00257890114779558,"pass",TRUE,TRUE,TRUE,TRUE,0.105324645236605,0.823533168932492,0.895906333510013,0.894680116589734,"anchored independent signed-Poisson update approximation",0,945,2.72900000000004,""
"Alaska",2025-03-29,"compressed","hurdle_ztnb",399.765829623302,0,0.000424699473604129,"pass",TRUE,TRUE,TRUE,FALSE,0.0280831928244144,0.868715388368971,0.971917387936025,0.971917387936025,"anchored sequential hurdle updates",0,945,3.34399999999999,""
"Alaska",2025-03-29,"compressed","hurdle_ztpoisson",393.307072373605,0,0.00272031261345274,"pass",TRUE,TRUE,TRUE,FALSE,0.0263398955614121,0.877138224139274,0.973660552506615,0.973660552506615,"anchored sequential hurdle updates",0,945,3.45999999999998,""
"Alaska",2025-04-26,"calendar","cumulative_poisson",3720.35201856263,0,0.00234312762395894,"pass",TRUE,TRUE,TRUE,TRUE,0.0726966078715179,0.705491893277758,0.927314152628765,0.927314152628765,"anchored independent signed-Poisson update approximation",0,1998,4.30799999999999,""
"Alaska",2025-04-26,"calendar","cumulative_nb",3886.19142688947,0,0.00399683904950243,"pass",TRUE,TRUE,TRUE,TRUE,0.0712885317336419,0.708060232199544,0.92872197776568,0.92872197776568,"anchored independent signed-Poisson update approximation",0,1998,6.74300000000005,""
"Alaska",2025-04-26,"calendar","hurdle_ztnb",764.571575870503,0,0.000328345665323582,"pass",TRUE,TRUE,TRUE,FALSE,0.0292026850873797,0.74895147296963,0.970806139432969,0.970806139432969,"anchored sequential hurdle updates",5,1998,5.74799999999999,""
"Alaska",2025-04-26,"calendar","hurdle_ztpoisson",786.786433455392,0,0.00302551929764898,"pass",TRUE,TRUE,TRUE,FALSE,0.0313610354428058,0.769590778511414,0.968646744973797,0.968646744973797,"anchored sequential hurdle updates",3,1998,7.37700000000001,""
"Alaska",2025-04-26,"compressed","cumulative_poisson",2415.76060477861,0,0.000848205419170966,"pass",TRUE,TRUE,TRUE,TRUE,0.0921351334500809,0.816986954830111,0.907868833449607,0.907868833449607,"anchored independent signed-Poisson update approximation",1,1053,3.40899999999999,""
"Alaska",2025-04-26,"compressed","cumulative_nb",2583.90832233841,0,0.000136003009871155,"pass",TRUE,TRUE,TRUE,TRUE,0.0927819389818432,0.817341723546377,0.907222079393166,0.907222079393166,"anchored independent signed-Poisson update approximation",1,1053,2.77999999999997,""
"Alaska",2025-04-26,"compressed","hurdle_ztnb",438.822459342381,0,0.000291362100670489,"pass",TRUE,TRUE,TRUE,FALSE,0.0255738089458758,0.86047455546047,0.974427006053711,0.974427006053711,"anchored sequential hurdle updates",3,1053,3.52700000000004,""
"Alaska",2025-04-26,"compressed","hurdle_ztpoisson",430.12912564579,0,0.00149053008478178,"pass",TRUE,TRUE,TRUE,FALSE,0.023775320415121,0.870699093060253,0.976225298127304,0.976225298127304,"anchored sequential hurdle updates",0,1053,3.84700000000004,""
"Alaska",2025-05-31,"calendar","cumulative_poisson",4059.98105562345,0,0.000150724059961652,"pass",TRUE,TRUE,TRUE,TRUE,0.0727525360069893,0.707500303397586,0.92725901012704,0.92725901012704,"anchored independent signed-Poisson update approximation",0,2133,3.55599999999998,""
"Alaska",2025-05-31,"calendar","cumulative_nb",4233.41546862742,0,0.000617544393241137,"pass",TRUE,TRUE,TRUE,TRUE,0.0715577446817205,0.709991082268258,0.928453462299459,0.928453462299459,"anchored independent signed-Poisson update approximation",0,2133,5.41300000000001,""
"Alaska",2025-05-31,"calendar","hurdle_ztnb",819.773635600676,0,0.00061499867345205,"pass",TRUE,TRUE,TRUE,FALSE,0.0316549213307454,0.742986720430314,0.968355709202353,0.968355709202353,"anchored sequential hurdle updates",8,2133,5.54700000000003,""
"Alaska",2025-05-31,"calendar","hurdle_ztpoisson",836.642563747707,0,0.00442607139939404,"pass",TRUE,TRUE,TRUE,FALSE,0.0335970015610571,0.767362308656011,0.966411746912137,0.966411746912137,"anchored sequential hurdle updates",0,2133,5.09199999999998,""
"Alaska",2025-05-31,"compressed","cumulative_poisson",2739.55718646478,0,0.000948187869152295,"pass",TRUE,TRUE,TRUE,TRUE,0.0859278852526968,0.817546711527889,0.914076452211534,0.914076452211534,"anchored independent signed-Poisson update approximation",0,1188,2.904,""
"Alaska",2025-05-31,"compressed","cumulative_nb",2914.09886360283,0,0.00181886350789395,"pass",TRUE,TRUE,TRUE,TRUE,0.0865027784739286,0.818025487167857,0.913501521266407,0.913501521266407,"anchored independent signed-Poisson update approximation",0,1188,3.52800000000002,""
"Alaska",2025-05-31,"compressed","hurdle_ztnb",498.368664152854,0,0.00122979868624884,"pass",TRUE,TRUE,TRUE,FALSE,0.0263978815291071,0.859533596893643,0.973604141852424,0.973604141852424,"anchored sequential hurdle updates",3,1188,4.29700000000003,""
"Alaska",2025-05-31,"compressed","hurdle_ztpoisson",488.140456037605,0,0.00190885544415353,"pass",TRUE,TRUE,TRUE,FALSE,0.0254487314856696,0.866108130447776,0.974552687320354,0.974552687320354,"anchored sequential hurdle updates",0,1188,4.02700000000004,""
"Arizona",2025-01-02,"calendar","cumulative_poisson",11133.2551586926,0,0.0368032319241856,"pass",TRUE,TRUE,TRUE,TRUE,0.00361535420392999,0.833220541672923,0.997604799290948,0.996384645811339,"anchored independent signed-Poisson update approximation",0,1539,3.09799999999996,""
"Arizona",2025-01-02,"calendar","cumulative_nb",7499.1229388577,0,0.000539155496575905,"pass",TRUE,TRUE,TRUE,TRUE,0.0702172562829717,0.377104642896697,0.929860950274261,0.929860950274261,"anchored independent signed-Poisson update approximation",0,1539,5.01499999999999,"NA/NaN function evaluation"
"Arizona",2025-01-02,"calendar","hurdle_ztnb",995.224344517525,0,0.000710982764836388,"pass",TRUE,TRUE,TRUE,FALSE,0.034330100840765,0.780203847067083,0.965680530867671,0.965680530867671,"anchored sequential hurdle updates",4,1539,3.68799999999999,""
"Arizona",2025-01-02,"calendar","hurdle_ztpoisson",3171.9365365383,0,0.0298455747493783,"pass",TRUE,TRUE,TRUE,FALSE,0.0923274689292669,0.886555203457724,0.940119776103738,0.907677399917383,"anchored sequential hurdle updates",9,1539,3.75700000000001,""
"Arizona",2025-01-02,"compressed","cumulative_poisson",2753.74062964393,0,0.00220630945105893,"pass",TRUE,TRUE,TRUE,TRUE,0.0247724133483567,0.944686982927813,0.999018117075465,0.975227586651643,"anchored independent signed-Poisson update approximation",0,648,2.31399999999996,""
"Arizona",2025-01-02,"compressed","cumulative_nb",2834.43887745479,0,0.00166186577733174,"pass",TRUE,TRUE,TRUE,TRUE,0.025462996930672,0.950708050895135,0.994952587263559,0.974537003081202,"anchored independent signed-Poisson update approximation",0,648,2.31999999999999,""
