"location","origin","clock","epidemic","model","event_date","event_year","age","current","truth","median","wis","absolute_error","coverage90"
"Alaska",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-08,2025,3,58,62,58,3.06727272727273,4,FALSE
"Alaska",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-15,2025,2,32,31,32,1.22727272727273,1,FALSE
"Alaska",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-22,2025,1,21,26,21,2.78181818181818,5,TRUE
"Alaska",2025-03-29,"calendar","sir","hurdle_ztnb",2025-03-29,2025,0,25,32,25,3.67575757575757,7,TRUE
"Alaska",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-01,2025,4,56,57,56,0.711515151515151,1,TRUE
"Alaska",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-08,2025,3,58,62,58,2.67272727272727,4,TRUE
"Alaska",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-15,2025,2,32,31,32,1.16363636363636,1,FALSE
"Alaska",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-22,2025,1,21,26,21,3.5,5,TRUE
"Alaska",2025-03-29,"calendar","sir","hurdle_ztpoisson",2025-03-29,2025,0,25,32,25,4.52727272727273,7,FALSE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-03-29,2025,4,30,32,30,1.27636363636364,2,TRUE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-05,2025,3,14,17,14,2.01818181818182,3,TRUE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-12,2025,2,15,16,15,0.527272727272727,1,TRUE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-19,2025,1,7,12,7,3.07272727272727,5,TRUE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztnb",2025-04-26,2025,0,4,9,4,2.49590909090909,5,TRUE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-03-29,2025,4,30,32,30,1.1,2,TRUE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-04-05,2025,3,14,17,14,1.59090909090909,3,TRUE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-04-12,2025,2,15,16,15,0.518181818181818,1,TRUE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-04-19,2025,1,7,12,7,2.8,5,TRUE
"Alaska",2025-04-26,"calendar","hsgp","hurdle_ztpoisson",2025-04-26,2025,0,4,9,5,1.96363636363636,4,TRUE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztnb",2025-03-29,2025,4,30,32,30,1.49090909090909,2,TRUE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztnb",2025-04-05,2025,3,14,17,14,2.465,3,FALSE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztnb",2025-04-12,2025,2,15,16,15,0.581818181818182,1,TRUE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztnb",2025-04-19,2025,1,7,12,7,3.5,5,TRUE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztnb",2025-04-26,2025,0,4,9,4,3.13696969696969,5,TRUE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-03-29,2025,4,30,32,30,1.34545454545455,2,TRUE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-04-05,2025,3,14,17,14,2.31818181818182,3,TRUE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-04-12,2025,2,15,16,15,0.828636363636364,1,TRUE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-04-19,2025,1,7,12,7,4.49090909090909,5,FALSE
"Alaska",2025-04-26,"calendar","sir","hurdle_ztpoisson",2025-04-26,2025,0,4,9,4,4.15454545454545,5,FALSE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-03,2025,4,7,9,7,1.82727272727273,2,FALSE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-10,2025,3,3,5,3,1.49227272727273,2,TRUE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-17,2025,2,5,6,5,0.681818181818182,1,TRUE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-24,2025,1,7,10,7,1.85454545454545,3,TRUE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztnb",2025-05-31,2025,0,6,8,6,0.981818181818182,2,TRUE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-03,2025,4,7,9,7,1.49090909090909,2,TRUE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-10,2025,3,3,5,3,1.32863636363636,2,TRUE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-17,2025,2,5,6,5,0.681818181818182,1,TRUE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-24,2025,1,7,10,7,2.15454545454545,3,TRUE
"Alaska",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",2025-05-31,2025,0,6,8,6,0.965,2,TRUE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-03,2025,4,7,9,7,1.65454545454545,2,TRUE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-10,2025,3,3,5,3,1.5,2,TRUE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-17,2025,2,5,6,5,0.681818181818182,1,TRUE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-24,2025,1,7,10,7,1.85590909090909,3,TRUE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztnb",2025-05-31,2025,0,6,8,6,1.08318181818182,2,TRUE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-03,2025,4,7,9,7,1.80136363636364,2,FALSE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-10,2025,3,3,5,3,2,2,FALSE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-17,2025,2,5,6,5,0.827272727272727,1,TRUE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-24,2025,1,7,10,7,2.49090909090909,3,FALSE
"Alaska",2025-05-31,"calendar","sir","hurdle_ztpoisson",2025-05-31,2025,0,6,8,6,1.34545454545455,2,TRUE
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-11-30,2024,4,589,558,591,34.5712121212121,33,FALSE
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-07,2024,3,884,882,893,8.75696969696969,11,TRUE
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-14,2024,2,994,1023,1007,10.8315151515152,16,TRUE
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-21,2024,1,1507,1534,1520.5,13.5531818181818,13.5,TRUE
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztnb",2024-12-28,2024,0,2283,2340,2324,25.010303030303,16,TRUE
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-11-30,2024,4,589,558,589,31.3272727272727,31,FALSE
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-07,2024,3,884,882,884,2.19651515151515,2,TRUE
"Arizona",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",2024-12-14,2024,2,994,1023,994,16.3768181818182,29,TRUE
