"location","origin","clock","epidemic","model","nll","convergence","max_gradient","gradient_status","finite_fit","finite_prediction","leakage_ok","use_random","fit_seconds","warnings"
"Arizona",2025-04-26,"calendar","sir","hurdle_ztpoisson",12788.3297960573,0,0.0337309154816645,"pass",TRUE,TRUE,TRUE,FALSE,9.887,""
"Arizona",2025-05-31,"calendar","hsgp","hurdle_ztnb",1736.51365398101,0,0.0059967035558488,"pass",TRUE,TRUE,TRUE,FALSE,5.23200000000003,""
"Arizona",2025-05-31,"calendar","hsgp","hurdle_ztpoisson",18588.0396486113,0,0.0605051256411246,"pass",TRUE,TRUE,TRUE,FALSE,5.488,""
"Arizona",2025-05-31,"calendar","sir","hurdle_ztnb",1921.26148812346,0,0.0117135153942352,"pass",TRUE,TRUE,TRUE,FALSE,5.83100000000002,""
"Arizona",2025-05-31,"calendar","sir","hurdle_ztpoisson",12956.1189815766,0,0.274202861454363,"warning",TRUE,TRUE,TRUE,FALSE,32.213,"The `hurdle_ztpoisson` optimizer did not pass the stability gate.
✖ Optimizer code 0: L-BFGS-B polish: CONVERGENCE: REL_REDUCTION_OF_F <=
  FACTR*EPSMCH
✖ Maximum absolute gradient: 0.2742.
ℹ Try `count_cumulative_process(observation = ""hurdle_ztnb"")`; the ZTNB
  magnitude law was stable in the package-wide sweep.
ℹ This finite fit is returned with `gradient_status = ""warning""`; inspect
  `fit$opt` before using it."
"Arkansas",2025-01-02,"calendar","hsgp","hurdle_ztnb",714.215410970669,0,0.00102195241265729,"pass",TRUE,TRUE,TRUE,FALSE,3.93699999999995,""
"Arkansas",2025-01-02,"calendar","hsgp","hurdle_ztpoisson",779.483355409757,0,0.00607962152884312,"pass",TRUE,TRUE,TRUE,FALSE,3.84100000000001,""
"Arkansas",2025-01-02,"calendar","sir","hurdle_ztnb",805.285133285398,0,0.00884697120851463,"pass",TRUE,TRUE,TRUE,FALSE,4.11000000000001,""
"Arkansas",2025-01-02,"calendar","sir","hurdle_ztpoisson",814.90140766015,1,0.00769994837193955,"pass",TRUE,TRUE,TRUE,FALSE,34.743,""
"Arkansas",2025-02-15,"calendar","hsgp","hurdle_ztnb",858.579805740717,0,0.00124834756624903,"pass",TRUE,TRUE,TRUE,FALSE,4.38799999999998,""
